subj_idx,stim,movie,rt,response,run,accuracy,logRT
800941,Random,BILLIARD-A.AVI,0.939,0,0,1.0,-0.0629397997738742
800941,Random,DRIFTING-A.AVI,0.631,0,0,1.0,-0.4604494164409239
800941,Mental,Fishing.AVI,0.429,1,0,1.0,-0.8462983600541201
731140,Mental,COAXING-B.AVI,0.85,1,0,1.0,-0.16251892949777494
731140,Random,BILLIARD-A.AVI,1.69,0,0,1.0,0.5247285289349821
731140,Random,DRIFTING-A.AVI,1.005,0,0,1.0,0.004987541511038968
731140,Mental,Fishing.AVI,0.887,1,0,1.0,-0.11991029667255755
731140,Random,Random mechanical.AVI,1.608,0,0,1.0,0.47499117075677466
180432,Mental,Scaring.AVI,0.732,1,1,1.0,-0.3119747650208255
180432,Mental,SEDUCING-B.AVI,0.598,1,1,1.0,-0.5141645250315053
180432,Random,STAR-A.AVI,0.67,0,1,1.0,-0.40047756659712525
180432,Mental,SURPRISING-B.AVI,0.495,1,1,1.0,-0.7031975164134467
205725,Mental,Scaring.AVI,0.643,1,1,1.0,-0.44161055474451766
205725,Mental,SEDUCING-B.AVI,0.56,1,1,1.0,-0.579818495252942
205725,Random,STAR-A.AVI,0.937,0,1,1.0,-0.0650719967437148
205725,Mental,SURPRISING-B.AVI,0.716,1,1,1.0,-0.3340751120214915
205725,Random,TENNIS-A.AVI,0.538,0,1,1.0,-0.6198967188203526
197651,Mental,COAXING-B.AVI,1.255,1,0,1.0,0.22713557258374711
197651,Random,BILLIARD-A.AVI,1.389,0,0,1.0,0.3285840637722067
197651,Random,DRIFTING-A.AVI,1.007,0,0,1.0,0.006975613736425138
197651,Mental,Fishing.AVI,0.852,1,0,1.0,-0.16016875215282134
197651,Random,Random mechanical.AVI,1.073,0,0,1.0,0.07045846364856137
148032,Mental,Scaring.AVI,0.693,1,1,1.0,-0.3667252797922339
148032,Mental,SEDUCING-B.AVI,0.507,1,1,1.0,-0.6792442753909539
148032,Random,STAR-A.AVI,0.838,0,1,1.0,-0.17673717850005405
148032,Mental,SURPRISING-B.AVI,1.033,1,1,1.0,0.03246719013750141
148032,Random,TENNIS-A.AVI,1.186,0,1,1.0,0.17058630057553367
111716,Mental,COAXING-B.AVI,0.9,1,0,1.0,-0.10536051565782628
111716,Random,BILLIARD-A.AVI,0.999,0,0,1.0,-0.0010005003335835344
111716,Random,DRIFTING-A.AVI,1.25,0,0,1.0,0.22314355131420976
111716,Mental,Fishing.AVI,1.447,1,0,1.0,0.36949244764934686
111716,Random,Random mechanical.AVI,0.892,0,0,1.0,-0.11428914640212766
172332,Mental,COAXING-B.AVI,1.133,1,0,1.0,0.12486898204586927
172332,Random,BILLIARD-A.AVI,1.529,0,0,1.0,0.4246139269469252
172332,Random,DRIFTING-A.AVI,0.98,0,0,1.0,-0.020202707317519466
172332,Mental,Fishing.AVI,0.954,1,0,1.0,-0.04709160753385057
172332,Random,Random mechanical.AVI,1.138,0,0,1.0,0.1292723357041391
594156,Mental,Scaring.AVI,0.691,1,1,1.0,-0.36961545521446726
594156,Mental,SEDUCING-B.AVI,0.827,1,1,1.0,-0.1899505839584458
594156,Mental,SURPRISING-B.AVI,0.897,1,1,1.0,-0.10869941692334091
594156,Random,TENNIS-A.AVI,0.445,0,1,1.0,-0.8096809968158968
100307,Mental,Scaring.AVI,0.542,1,1,1.0,-0.6124892775424908
100307,Mental,SEDUCING-B.AVI,0.363,1,1,1.0,-1.0133524447172864
100307,Random,STAR-A.AVI,0.481,0,1,1.0,-0.731888008876376
100307,Mental,SURPRISING-B.AVI,0.532,1,1,1.0,-0.6311117896404926
100307,Random,TENNIS-A.AVI,0.669,0,1,1.0,-0.4019712188539085
310621,Mental,Scaring.AVI,1.003,1,1,1.0,0.002995508979798371
310621,Mental,SEDUCING-B.AVI,1.08,1,1,1.0,0.0769610411361284
310621,Random,STAR-A.AVI,1.031,0,1,1.0,0.03052920503482279
310621,Mental,SURPRISING-B.AVI,0.975,1,1,1.0,-0.025317807984289897
136126,Mental,Scaring.AVI,1.25,1,1,1.0,0.22314355131420976
136126,Mental,SEDUCING-B.AVI,1.279,1,1,1.0,0.24607852259670557
136126,Random,STAR-A.AVI,1.004,0,1,1.0,0.003992021269537457
136126,Mental,SURPRISING-B.AVI,1.601,1,1,1.0,0.4706284340145776
136126,Random,TENNIS-A.AVI,0.995,0,1,1.0,-0.005012541823544286
168240,Mental,Scaring.AVI,0.84,1,1,1.0,-0.1743533871447778
168240,Mental,SEDUCING-B.AVI,0.637,1,1,1.0,-0.45098562340997367
168240,Random,STAR-A.AVI,0.347,0,1,1.0,-1.058430499035278
168240,Mental,SURPRISING-B.AVI,0.827,1,1,1.0,-0.1899505839584458
168240,Random,TENNIS-A.AVI,0.421,0,1,1.0,-0.8651224452997557
583858,Mental,Scaring.AVI,0.774,1,1,1.0,-0.2561834053924099
583858,Mental,SEDUCING-B.AVI,0.603,1,1,1.0,-0.5058380822549516
583858,Random,STAR-A.AVI,0.681,0,1,1.0,-0.3841929728326246
583858,Mental,SURPRISING-B.AVI,0.769,1,1,1.0,-0.26266430947649305
583858,Random,TENNIS-A.AVI,0.584,0,1,1.0,-0.53785429615391
176441,Mental,Scaring.AVI,0.468,1,1,1.0,-0.7592869830644903
176441,Mental,SEDUCING-B.AVI,0.641,1,1,1.0,-0.444725822061467
176441,Random,STAR-A.AVI,0.268,0,1,1.0,-1.3167682984712803
176441,Mental,SURPRISING-B.AVI,0.418,1,1,1.0,-0.8722738464573808
176441,Random,TENNIS-A.AVI,0.636,0,1,1.0,-0.4525567156420149
555651,Mental,COAXING-B.AVI,2.254,1,0,1.0,0.8127064156175846
555651,Random,BILLIARD-A.AVI,1.269,0,0,1.0,0.23822918873225055
555651,Random,DRIFTING-A.AVI,0.695,0,0,1.0,-0.363843433417345
555651,Mental,Fishing.AVI,0.667,1,0,1.0,-0.4049652330665133
555651,Random,Random mechanical.AVI,1.5,0,0,1.0,0.4054651081081644
713239,Mental,Scaring.AVI,1.469,1,1,1.0,0.3845818971917403
713239,Mental,SEDUCING-B.AVI,0.979,1,1,1.0,-0.021223636451626688
713239,Random,STAR-A.AVI,1.109,0,1,1.0,0.10345870836822997
713239,Mental,SURPRISING-B.AVI,1.176,1,1,1.0,0.16211884947643512
713239,Random,TENNIS-A.AVI,1.339,0,1,1.0,0.29192306670903545
204016,Mental,Scaring.AVI,0.909,1,1,1.0,-0.09541018480465818
204016,Mental,SEDUCING-B.AVI,0.781,1,1,1.0,-0.24718012914245105
204016,Random,STAR-A.AVI,0.544,0,1,1.0,-0.6088060321261943
204016,Mental,SURPRISING-B.AVI,0.736,1,1,1.0,-0.3065251602532608
204016,Random,TENNIS-A.AVI,1.11,0,1,1.0,0.10436001532424286
922854,Mental,Scaring.AVI,0.825,1,1,1.0,-0.19237189264745613
922854,Mental,SEDUCING-B.AVI,0.586,1,1,1.0,-0.5344354894051245
